dissimilarity,homogeneity,contrast,ASM,energy,correlation,entropy,Dissimilarity_1,Dissimilarity_2,Dissimilarity_3,Dissimilarity_4,Dissimilarity_5,Dissimilarity_6,Dissimilarity_7,Dissimilarity_8,Dissimilarity_9,Dissimilarity_10,Dissimilarity_11,Dissimilarity_12,Dissimilarity_13,Dissimilarity_14,Dissimilarity_15,Dissimilarity_16,Homogeneity_1,Homogeneity_2,Homogeneity_3,Homogeneity_4,Homogeneity_5,Homogeneity_6,Homogeneity_7,Homogeneity_8,Homogeneity_9,Homogeneity_10,Homogeneity_11,Homogeneity_12,Homogeneity_13,Homogeneity_14,Homogeneity_15,Homogeneity_16,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,labels,img_paths
4.94047619,0.928288459,947.937996,0.757715127,0.870468338,0.883208214,3.821928095,0,0,0,0,15.83333333,10.4875,13.94583333,7.554166667,5.508333333,0.020833333,13.55416667,8.1625,0,0,0,0,1,1,1,1,0.766791377,0.810214628,0.797986001,0.852937632,0.930859417,0.990416667,0.84500291,0.879648728,1,1,1,1,0,0,0,0,2.570950594,3.48418372,3.170950594,2.501609497,0,0,2.441446071,2.828212946,0,0,0,0,a,Crop ROI/a/a0.jpg
5.238839286,0.935747667,988.4203869,0.787174793,0.887228715,0.851566708,3.88418372,0,0,0,0,6.233333333,5.570833333,18.1,12.83333333,19.22916667,0,10.69166667,14.20833333,0,0,0,0,1,1,1,1,0.933339692,0.885441469,0.751344342,0.812121137,0.820890862,1,0.888783045,0.859625063,1,1,1,1,0,0,0,0,1.578897903,2.319973094,3.103701696,2.28418372,1.191760148,0,2.041446071,2.870950594,0,0,0,0,a,Crop ROI/a/a1.jpg
9.313988095,0.907799947,1939.576885,0.717877177,0.847276329,0.778234354,3.921928095,0,0,0,0,11.69166667,11.375,33.7625,27.68333333,24.95416667,0,27.75833333,13.37916667,0,0,0,0,1,1,1,1,0.891399556,0.838432412,0.689699383,0.720990019,0.766758346,1,0.736739821,0.86983413,1,1,1,1,0,0,0,0,1.406007579,2.821928095,2.765957321,2.70869497,2.50869497,0,3.546439345,3.041446071,0,0,0,0,a,Crop ROI/a/a10.jpg
7.342013889,0.935134692,1557.656994,0.821168591,0.906183531,0.660928827,3.48418372,0,0,0,0,8.1,10.7375,15.95,18.7625,20.35416667,1.075,27.81666667,17.01666667,0,0,0,0,1,1,1,1,0.932523308,0.852731448,0.851682409,0.833428515,0.85009568,0.989583397,0.782900688,0.860906511,1,1,1,1,0,0,0,0,0.468995594,2.395461844,1.578897903,2.70869497,0.609840305,0,1.460964047,2.38418372,0,0,0,0,a,Crop ROI/a/a100.jpg
9.650793651,0.90206194,1976.743056,0.724480754,0.851164352,0.719781148,3.746439345,0,0,0,0,18.12916667,21.4625,25.2375,21.26666667,24.04166667,0.0375,26.2375,17.45833333,0,0,0,0,1,1,1,1,0.826409071,0.720991731,0.753477899,0.743538952,0.786746586,0.98375,0.785490491,0.832959204,1,1,1,1,0,0,0,0,1.733206219,1.570950594,1.319035274,2.283383098,2.223219672,0,3.146439345,1.814979821,0,0,0,0,a,Crop ROI/a/a101.jpg
11.93576389,0.892237652,2532.661458,0.694258832,0.833221959,0.684518341,3.68418372,0,0,0,0,25.53333333,23.47083333,27.44166667,25.1,25.45833333,3.675,31.025,33.2,0,0,0,0,1,1,1,1,0.757533487,0.745662131,0.729954567,0.757547351,0.813526905,0.956667219,0.751457301,0.739325362,1,1,1,1,0,0,0,0,2.803701696,1.843751954,1.5,3.103701696,1.490468571,0.568995594,2.157717469,3.146439345,0,0,0,0,a,Crop ROI/a/a102.jpg
9.246031746,0.919549008,1980.475694,0.784331653,0.885625007,0.657176523,3.446439345,0,0,0,0,22.3,10.30416667,35.00416667,20.12916667,22.2,0,17.07916667,21.50833333,0,0,0,0,1,1,1,1,0.804011545,0.87670524,0.727315702,0.795900343,0.836678971,1,0.840435962,0.818623485,1,1,1,1,0,0,0,0,1.319035274,1.638758681,1.765957321,1.939353872,1.181290899,0,1.543751954,2.157717469,0,0,0,0,a,Crop ROI/a/a103.jpg
8.706597222,0.924553981,1784.809276,0.791870671,0.889871154,0.668982109,3.546439345,0,0,0,0,20.39166667,8.633333333,38.5,23.95833333,23.75833333,0,14.8875,12.75416667,0,0,0,0,1,1,1,1,0.818179,0.856333613,0.703376687,0.768360481,0.837136878,1,0.868454259,0.916081188,1,1,1,1,0,0,0,0,1.616642278,2.58418372,1.512887622,1.985475297,1.156779649,0,0.568995594,2.023219672,0,0,0,0,a,Crop ROI/a/a104.jpg
6.723958333,0.938732752,1428.752728,0.825641981,0.908648436,0.667022694,3.38418372,0,0,0,0,14.6375,6.2625,24.22916667,14.8625,17.34583333,0,12.71666667,21.69166667,0,0,0,0,1,1,1,1,0.846412317,0.901963699,0.796444826,0.806700482,0.891797591,1,0.917731228,0.841738266,1,1,1,1,0,0,0,0,1.695461844,1.885475297,1.880482024,2.457717469,0.286396957,0,0.74758468,0.921928095,0,0,0,0,a,Crop ROI/a/a105.jpg
6.905257937,0.935247385,1534.209821,0.824210784,0.907860553,0.632989173,3.28418372,0,0,0,0,16.02916667,8.920833333,24.29166667,16.70416667,15.525,0,17.20833333,10.9,0,0,0,0,1,1,1,1,0.841678673,0.876692154,0.812197351,0.820081217,0.882584338,1,0.848656541,0.883597277,1,1,1,1,0,0,0,0,0.609840305,1.760964047,2.019973094,1.733206219,0.609840305,0,0.992774454,1.68149633,0,0,0,0,a,Crop ROI/a/a106.jpg
7.098214286,0.933634154,1496.008929,0.813554652,0.901972645,0.668070008,3.621928095,0,0,0,0,14.9875,16.95416667,15.95,16.0125,6.9875,6.475,19.17083333,15.97083333,0,0,0,0,1,1,1,1,0.848693767,0.827207375,0.829251271,0.826124448,0.934396357,0.939182263,0.856683992,0.88423432,1,1,1,1,0,0,0,0,1.319035274,1.98149633,0.921928095,1.857717469,0.568995594,0.811278124,1.647730922,2.023219672,0,0,0,0,a,Crop ROI/a/a107.jpg
8.952628968,0.925951006,1936.3063,0.79455182,0.891376362,0.600148717,3.003701696,0,0,0,0,10.64166667,16.6375,15.77916667,24.85416667,15.4625,22.7375,9.079166667,22.90833333,0,0,0,0,1,1,1,1,0.89402891,0.821283927,0.878586045,0.770904021,0.874178066,0.871731617,0.916674018,0.815255031,1,1,1,1,0,0,0,0,0.921928095,1.456779649,1.054015773,2.019035274,1.441153528,2.328212946,0.921928095,0.811278124,0,0,0,0,a,Crop ROI/a/a108.jpg
9.275793651,0.926556309,2033.200397,0.804701463,0.897051539,0.530977673,2.901609497,0,0,0,0,9.775,17.05,30.2875,23.7,14.37083333,20.4875,7.304166667,24.95,0,0,0,0,1,1,1,1,0.90833768,0.843781629,0.790133663,0.801795967,0.883799505,0.851146809,0.934173486,0.824226067,1,1,1,1,0,0,0,0,0,1.054015773,1.44064545,1.406007579,1.416642278,1.581290899,0.286396957,0.286396957,0,0,0,0,a,Crop ROI/a/a109.jpg
9.924355159,0.906957657,2113.211062,0.722764326,0.850155472,0.750562114,3.68418372,0,0,0,0,11.75416667,15.00416667,36.49583333,28.8875,27.12916667,0,25.30833333,15.96666667,0,0,0,0,1,1,1,1,0.881717089,0.793209542,0.698618978,0.725890666,0.751082982,1,0.799209879,0.847992111,1,1,1,1,0,0,0,0,2.057717469,2.090468571,2.741446071,3.046439345,3.146439345,0,3.146439345,2.903701696,0,0,0,0,a,Crop ROI/a/a11.jpg
9.833333333,0.915796822,2065.914683,0.783136231,0.884949847,0.578250644,2.746439345,0,0,0,0,4.6875,23.2,23.1875,28.12916667,21.27083333,20.3875,7.645833333,27.01666667,0,0,0,0,1,1,1,1,0.961267103,0.775130812,0.807595919,0.738930599,0.811315708,0.845847634,0.930418863,0.789036085,1,1,1,1,0,0,0,0,0.468995594,1.191760148,1.616642278,0.609840305,0.991760148,1.076297626,0.468995594,1.406007579,0,0,0,0,a,Crop ROI/a/a110.jpg
9.071924603,0.921797345,1930.196925,0.798459392,0.89356555,0.560991586,2.465957321,0,0,0,0,1.0875,13.96666667,27.28333333,28.22916667,20.25833333,5.5625,25.09583333,22.17083333,0,0,0,0,1,1,1,1,0.980839567,0.859838794,0.780980968,0.745582158,0.831162186,0.956298525,0.793854166,0.806794261,1,1,1,1,0,0,0,0,0,0.286396957,0.88418372,1.68418372,1.021928095,0.286396957,1.076297626,0.468995594,0,0,0,0,a,Crop ROI/a/a111.jpg
9.618303571,0.924760333,2104.466518,0.817482,0.904147112,0.51285327,3.00869497,0,0,0,0,7.375,13.45,33.36666667,21.21666667,17.11666667,18.30416667,17.775,24.84583333,0,0,0,0,1,1,1,1,0.941255003,0.877146885,0.73861504,0.818845867,0.871263616,0.850504989,0.880949495,0.818623541,1,1,1,1,0,0,0,0,0.88418372,1.021928095,0.921928095,2.214979821,1.716642278,1.478897903,1.370950594,0.74758468,0,0,0,0,a,Crop ROI/a/a112.jpg
9.57390873,0.921020662,2064.50248,0.797573498,0.893069705,0.505670331,2.446439345,0,0,0,0,7.425,22.72916667,15.39583333,20.29583333,19.09166667,29.33333333,8.458333333,25.525,0,0,0,0,1,1,1,1,0.941797539,0.79011749,0.842258762,0.817196361,0.861092942,0.759368739,0.919177646,0.81213176,1,1,1,1,0,0,0,0,0.721928095,0.881290899,0.468995594,1.360964047,1.181290899,0.934068055,0.468995594,0,0,0,0,0,a,Crop ROI/a/a113.jpg
