class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
a,2056,2251,2029,2193,2245,5330,2299,4806,1950,2327,4277,4502,2226,4763,4534,17748
a,3051,2473,2486,1972,2490,5562,2282,4513,2398,2305,5224,4196,1956,4358,4242,16028
a,1584,1998,1863,2411,2074,4253,2832,4967,1938,2876,3675,4596,2538,5208,4827,17896
a,109,1748,261,2041,1854,7420,2281,7796,71,2254,74,4819,2102,7184,4613,20909
a,4138,2755,2550,1812,2726,7232,2042,4385,2695,2187,4580,2976,1942,4703,2989,15824
a,3078,3107,2382,2615,3145,4659,2740,3737,2389,2744,4473,4490,2642,3707,4533,15095
a,2354,2922,2931,3574,2943,2539,3795,3304,2919,3813,4442,5678,3675,3232,5722,11693
a,1950,2143,2486,2740,2124,5206,2895,6589,2502,2935,3225,3460,2727,6584,3432,14538
a,4371,2444,4813,2388,2462,5180,2597,4891,4641,2516,5947,2951,2365,4685,2974,10311
a,11063,2020,2054,522,2013,10889,682,1909,2154,714,10388,1796,632,1975,1802,14923
a,4275,2294,3481,2013,2260,7304,2102,6218,3446,2126,4635,2357,2075,5982,2350,12618
a,2530,3189,2654,3680,3170,3758,4307,4563,2659,4368,3037,4546,3645,4529,4465,10436
a,6456,3422,3022,1460,3411,6753,2268,3442,3046,2225,6456,3359,1477,3535,3355,11849
a,2050,4541,833,1751,4577,7806,2090,2673,820,2227,2446,5608,1944,2702,5659,17809
a,402,1907,404,2757,1894,5028,3837,8395,420,3826,426,4071,2783,8464,4074,16848
a,1613,2212,1601,1176,2218,7021,2153,4455,1640,2439,4572,4458,1498,5179,4451,18850
a,4268,1748,2426,876,1725,10080,1785,5732,2348,1772,5435,1991,925,5250,2004,17171
a,2636,1998,2536,1552,1980,7325,2601,6562,2559,2587,3941,2680,1590,6702,2646,15641
a,4432,3065,2674,1574,3072,6295,2600,3946,2794,2757,5663,3768,1704,3985,3769,13438
a,4128,3570,3054,2534,3548,5325,3306,4200,2934,3327,4384,3938,2402,4194,3908,10784
a,6432,1694,1844,380,1729,9703,1266,2672,1745,1294,8725,2214,412,2705,2266,20455
a,90,1099,73,227,1110,20236,1233,7329,44,1332,10,519,286,7937,550,23461
a,2249,2424,2350,2650,2463,4487,3780,4764,2341,3808,3510,4755,2596,4688,4689,13982
a,1192,2314,2170,4639,2339,2372,5570,5183,2180,5584,2004,4856,4691,5401,4938,10103
a,3635,2053,2302,1370,2073,6929,1777,4549,2328,1734,6151,3184,1325,4597,3223,18306
a,11013,1972,1993,428,1993,10803,824,1852,2115,851,10220,1734,474,1936,1764,15564
a,160,1310,214,2228,1205,4700,2648,8787,121,2896,28,4763,2285,7599,4679,21913
a,4204,2622,2695,1620,2612,6291,2155,3964,2680,2188,5994,3775,1606,3940,3734,15456
a,1588,2564,2156,3915,2599,3273,4257,5071,2133,4177,2481,4699,3825,5031,4742,13025
a,5308,1886,3692,1400,1859,7177,1651,4806,3687,1719,6385,2225,1443,5037,2230,15031
a,5431,2066,3548,1339,2074,5890,1618,3720,3680,1637,8766,3104,1345,3881,3109,14328
a,5461,2103,3108,1338,2095,6579,1648,3459,3143,1667,8103,2770,1374,3457,2806,16425
a,4097,3011,3459,2610,3002,5149,2964,4877,3418,2956,4157,3040,2616,4816,3106,12258
a,2061,4668,846,1861,4624,8056,2187,3006,861,2210,2398,5667,1875,2982,5633,16601
a,27,162,62,494,180,1182,929,14654,21,940,0,613,528,14653,598,30493
a,7180,2543,2410,910,2539,8680,1233,3216,2369,1251,7912,2740,901,3265,2741,15646
a,3670,3304,3416,3084,3322,4441,3488,4140,3385,3474,3916,3811,3077,4109,3831,11068
a,7000,2549,2544,1073,2578,8475,1369,3205,2501,1359,7986,2948,1092,3057,2999,14801
a,4685,2403,3466,1815,2425,7858,2061,6338,3492,2141,4245,2148,1873,6547,2171,11868
a,3777,2290,2257,1448,2290,7351,1713,4453,2255,1769,5831,3752,1500,4540,3788,16522
a,4479,2274,3385,1747,2366,7716,2155,5839,3398,2175,4568,2418,1812,5843,2524,12837
a,1605,1786,1737,1970,1780,5059,2238,5503,1865,2233,4316,4938,1972,5350,4958,18226
a,5276,3143,2675,1631,3236,7919,2024,3868,2685,1994,5744,3365,1666,3910,3538,12862
a,5834,2672,3561,1480,2694,6648,1782,3830,3606,1886,6443,2697,1572,4029,2756,14046
a,6294,3267,3252,1754,3254,6927,2086,3594,3491,2145,6139,3185,1806,3582,3163,11597
a,1940,2204,1161,1221,2206,8713,1647,4714,1224,1789,3494,3721,1359,4991,3757,21395
a,4374,2271,3527,2139,2255,4963,2407,4127,3461,2468,6898,4022,2091,3994,3929,12610
a,1966,2187,1174,1233,2205,8589,1675,4642,1243,1816,3485,3668,1398,4934,3720,21601
a,5344,3172,2722,1694,3306,7633,2039,3774,2707,2031,5777,3353,1678,3783,3504,13019
a,3856,3119,3325,2600,3039,5198,2987,4485,3166,2949,4792,3996,2595,4284,3817,11328
a,2648,6164,1465,3181,6129,4396,3498,2452,1429,3402,3452,7344,3072,2116,7312,7476
a,3525,2578,2458,2121,2543,6154,2283,5031,2313,2176,5171,4115,2024,4731,4107,14206
a,2468,1827,1922,1465,1828,6160,1707,4768,1878,1792,5192,4198,1533,4501,4198,20099
a,5906,1424,4677,1125,1375,7787,1451,6465,4278,1408,7133,1483,1037,5893,1451,12643
a,2731,915,2610,1161,916,3715,1459,4016,2819,1557,9756,3571,1129,3853,3584,21744
a,3858,3430,3017,2810,3380,5224,2947,4498,2806,3086,4416,4263,3003,4544,4233,10021
a,6166,2949,2950,1524,2941,7545,1646,3564,3010,1763,7022,3338,1640,3502,3323,12653
a,4533,1656,2819,1233,1645,8610,1422,5510,2639,1501,6123,2309,1249,5538,2314,16435
a,3082,3309,2448,2530,3323,6227,2790,4506,2199,2732,4262,4681,2430,3820,4664,12533
a,7532,3246,3233,1387,3292,7820,1657,3341,3187,1767,7158,3086,1545,3199,3131,10955
a,2985,1510,1773,979,1508,9110,1186,4953,1708,1293,5933,2820,1039,4785,2854,21100
a,2348,2088,1871,1526,2113,8041,1930,5150,1781,1960,5917,3565,1550,4939,3659,17098
a,4335,2362,2981,1775,2316,7131,2194,5690,3132,2304,4764,2836,1867,5579,2786,13484
a,2662,1758,2871,1722,1830,7742,2178,8144,2764,2206,3156,1969,1747,8096,2042,14649
a,2607,3411,2014,2681,3423,4814,2927,3681,2004,3040,4075,5600,2752,3643,5676,13188
a,3787,3053,3034,2506,3021,4741,3012,3978,3031,3043,4464,3772,2489,3999,3765,13841
a,161,3730,176,3210,3774,3840,3384,2997,141,3607,17,9625,3217,3192,9581,14884
a,6938,3203,3069,1470,3184,7422,1649,3332,2952,1658,7103,3214,1487,3225,3222,12408
a,3492,2713,2768,2248,2709,5507,2411,4485,2821,2537,5215,3975,2300,4520,3940,13895
a,3398,3863,2802,2997,3866,4538,3161,3995,2694,3480,3926,4578,3362,4302,4580,9994
a,3853,2506,2631,1727,2511,7153,1989,4820,2466,1931,5537,3578,1681,4588,3621,14944
a,5168,2733,2562,1434,2727,7731,1646,3735,2554,1705,6490,3460,1444,3923,3427,14797
a,5471,2912,2858,1669,2928,7375,1815,3867,2897,1826,6375,3311,1625,3632,3431,13544
a,3735,3616,2099,2196,3626,7004,2399,4074,2153,2502,4081,4135,2274,3917,4168,13557
a,5624,2816,2900,1611,2820,7368,1597,3749,2900,1609,6875,3424,1591,3626,3450,13576
a,3607,3096,2586,2269,3094,6631,2443,4482,2468,2445,4554,4032,2266,4404,4024,13135
a,4733,3971,2227,1842,3969,7561,2075,3501,2191,2125,4643,3929,1804,3462,3948,13555
a,3579,2544,2470,1815,2555,5343,2766,4164,2543,2737,5121,3950,1781,4154,3950,16064
a,5119,2530,2693,1336,2561,7550,2129,4176,2707,2103,6664,3048,1333,4252,3083,14252
a,1865,1700,1711,1475,1707,5247,2389,5097,1744,2395,4634,4644,1470,5099,4672,19687
a,3781,2777,2811,1909,2763,6226,2790,4373,2862,2709,5245,4022,1894,4356,4027,12991
a,4228,4159,1480,1302,4171,10657,2091,3552,1467,2099,3740,3767,1298,3523,3776,14226
a,10169,1327,1523,186,1365,12186,955,1580,1548,986,11537,1265,193,1633,1294,17789
a,3875,3605,2114,1941,3612,6566,2935,3855,2193,2994,3899,3874,1991,3698,3866,14518
a,4806,2980,3027,1773,2986,6066,2598,4130,3075,2646,5489,3540,1845,4168,3567,12840
a,3919,3213,3240,2493,3056,5123,3280,4392,3189,3307,4681,4128,2333,4220,3553,11409
a,5347,4724,2601,2175,4684,5524,2977,2703,2684,2933,4877,4539,2166,2646,4476,10480
a,773,1935,1665,4071,1917,2597,4409,5870,1589,4337,2017,5366,3942,5739,5369,13940
a,2525,3021,2831,3074,2993,4195,3916,4402,2847,4021,3726,4537,3188,4756,4514,10990
a,6765,2977,2861,1036,2955,7990,1774,3039,2663,2063,7512,2969,1293,3880,2926,12833
a,1003,1769,1759,3043,1781,3467,3440,6061,1697,3484,2668,5596,3072,6208,5624,14864
a,5258,1950,3360,1502,1942,6700,1725,6013,3944,1827,6025,2387,1588,5757,2378,13180
a,1362,1886,2007,3000,1911,4044,3321,6277,1879,3371,2832,5034,3010,6227,5127,14248
a,3734,2264,2285,1483,2296,7252,1793,4450,2232,1776,5688,3683,1476,4412,3679,17033
a,175,1617,354,2211,1606,5859,2535,6588,300,2320,541,6224,1971,5270,6284,21681
a,402,978,602,1778,993,3555,2255,6957,524,2427,1120,5118,1893,6683,5115,25136
a,4150,3204,2076,1724,3181,7262,2186,3791,2069,2134,5410,4455,1654,3470,4433,14337
a,3596,3150,2419,1864,3147,5670,2072,4556,1988,2336,5111,4424,2098,4509,4422,14174
a,5334,3511,2830,1917,3401,6304,2172,3190,2786,2289,5680,3816,1880,3098,3686,13642
a,3246,2490,2436,1940,2496,6483,2219,4378,2423,2348,5059,4105,1964,4520,4112,15317
a,3299,2260,2147,1501,2234,6576,1786,4165,2164,1862,6073,4153,1555,4470,4169,17122
a,3711,2237,2554,1533,2242,6698,1749,4598,2540,1817,6250,3884,1563,4493,3920,15747
a,3838,2156,2352,1230,2146,7626,1555,4467,1981,1497,6319,3435,1179,3963,3482,18310
a,2580,1898,2541,1735,1903,7460,2070,6737,2592,2149,4085,2717,1833,7000,2749,15487
a,5289,2091,4008,1603,2074,5583,2037,4157,4142,1983,8175,2870,1586,3985,2917,13036
a,1397,1902,2072,2923,1946,4069,3396,5997,1959,3441,2895,5084,2937,6264,5139,14115
a,1070,1211,962,1477,1197,5132,1671,5555,966,1693,3583,4759,1515,5346,4754,24645
a,3363,3000,1295,1241,3031,13196,1493,4905,1246,1522,3167,2805,1301,4771,2845,16355
a,3045,2874,2420,2380,2798,4910,2779,4664,2393,2821,4476,4600,2305,4426,4530,14115
a,2166,2707,2619,3459,2703,3662,3807,4746,2587,3848,3354,4560,3510,4671,4580,12557
a,4089,4663,1183,1412,4733,6986,1578,1973,1098,1691,5883,6513,1468,2028,6619,13619
a,10329,1249,1439,279,1293,12637,604,1540,1393,657,11919,1268,332,1545,1316,17736
a,2347,1480,3713,2181,1530,2945,2531,4280,3744,2586,8461,4889,2201,4358,4901,13389
a,5610,3698,876,610,3671,12011,1019,1547,854,1002,6370,4125,606,1606,4079,17852
a,2841,3055,2802,2921,3048,5116,3364,5409,2687,3043,4323,4352,2736,4583,4448,10808
a,1192,3188,1660,4527,3210,3266,5023,4601,1652,5000,1933,5886,4524,4605,5882,9387
