class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
a,0,0,87,409,0,0,639,4332,8,821,9,2565,545,4093,2611,118570
a,0,0,129,271,3,0,858,4528,14,1111,7,2646,377,4284,2790,134303
a,0,0,100,507,4,0,1451,4171,64,1713,22,3425,478,3974,3712,151775
a,0,3,137,664,0,0,1440,5193,13,1540,94,3857,906,4975,3718,237050
a,0,43,138,564,10,6,1138,3770,14,1348,98,2897,763,3485,2941,119315
a,0,6,134,788,7,0,1006,3939,54,1084,298,3606,934,3795,3537,134084
a,5,19,134,762,0,0,1353,4848,54,1483,209,3801,908,4652,3804,196524
a,0,7,137,724,0,0,1229,4704,91,1300,130,3572,817,4586,3557,184808
a,0,10,138,572,7,0,1170,6023,69,1239,186,3977,719,5876,3902,262872
a,0,10,133,796,5,0,1294,5541,47,1329,80,3821,973,5415,3684,242097
a,0,28,131,803,2,0,1102,5250,46,1141,64,3678,938,5161,3608,219620
a,21,16,103,246,12,0,2436,5801,51,2527,43,4569,309,5699,4601,264087
a,64,63,84,166,7,1,3511,7008,50,3445,92,5371,202,7072,5325,380988
a,0,9,140,562,0,0,1414,4149,16,1596,209,3587,763,3890,3577,159440
a,30,35,76,161,42,0,3288,6133,75,3351,43,4584,180,6052,4621,284369
a,45,27,67,203,38,0,3267,6486,63,3328,56,4739,254,6378,4738,312536
a,77,19,121,177,8,0,3467,6908,61,3509,129,4953,270,6833,4913,364825
a,32,34,64,117,32,0,3731,6408,57,3677,26,4809,172,6414,4702,314881
a,52,6,122,131,58,0,4662,7434,51,4914,25,5125,154,7230,5302,410958
a,31,47,106,172,36,2,3268,6213,75,3287,22,5276,135,6262,5343,327927
a,67,20,61,88,40,0,2923,6304,72,3055,96,4257,121,6128,4336,274932
a,17,4,151,168,39,0,3842,6646,61,4069,97,5171,215,6462,5316,376702
a,37,8,74,162,18,0,3830,5784,82,3861,56,5163,156,5751,5190,271229
a,50,1,130,191,27,0,3432,6535,69,3599,38,5217,184,6436,5365,325135
a,0,5,149,626,16,0,1797,6223,70,1990,32,4180,657,6078,4331,282426
a,25,53,124,454,40,28,1778,5708,77,1852,37,3619,491,5644,3669,241626
a,6,23,102,351,25,0,1994,5804,61,2118,31,3658,309,5763,3822,236033
a,24,27,134,258,37,3,1758,5190,61,1840,16,3275,280,5159,3325,186549
a,25,51,115,454,53,66,1169,4942,8,1291,70,2901,501,4880,2974,151069
a,40,43,108,427,36,3,1104,4961,6,1320,4,3061,555,4719,3156,158963
a,0,0,121,475,0,0,1291,5337,11,1432,9,3278,611,5170,3283,210824
a,12,50,115,452,46,81,1210,5511,15,1322,31,3076,559,5392,3085,194803
a,0,0,123,343,1,0,1151,4759,31,1433,48,2980,421,4491,3183,158698
a,29,23,139,479,47,12,1274,4771,53,1482,1,2980,590,4538,3053,159881
a,12,0,106,410,3,0,1308,5722,29,1279,5,3367,508,5730,3237,224300
a,50,23,103,437,51,2,1355,5833,53,1402,17,3346,429,5844,3373,226683
a,5,39,104,399,51,12,1576,5136,69,1614,22,3132,455,5077,3102,186232
a,0,14,130,415,7,0,1230,5078,19,1357,43,3306,527,4950,3328,195821
a,0,2,120,444,12,0,1095,5396,30,1280,64,3327,536,5209,3410,208995
a,0,0,133,453,2,0,1261,5811,7,1496,34,3707,622,5533,3771,250699
a,0,0,131,302,0,0,1266,5357,36,1517,18,3359,384,5119,3528,201295
a,0,0,125,533,2,0,1326,6162,23,1545,33,3876,646,5932,3980,287181
a,7,0,134,354,5,0,1326,5881,4,1568,23,3872,467,5656,3996,243479
a,0,18,136,520,0,0,1413,4344,26,1619,68,3350,585,4183,3509,162985
a,0,0,105,458,1,0,1524,5088,49,1688,48,3464,542,4896,3543,213819
a,0,0,120,341,6,0,1458,5634,5,1683,12,3746,510,5355,3796,246176
a,0,11,134,594,11,0,1393,5363,6,1616,155,3675,680,5182,3812,234924
a,0,0,139,484,0,0,1597,5480,37,1702,55,3913,589,5372,3913,245561
a,0,26,140,487,5,0,1616,5550,51,1828,42,3828,526,5388,4022,243263
a,0,0,143,574,4,0,1648,5501,59,1823,65,3770,623,5361,3892,239706
a,0,0,104,666,4,0,2470,8177,26,2508,73,6197,917,7966,5980,578784
a,6,0,132,914,0,0,1712,8449,0,1909,38,5683,1130,8168,5664,552951
a,0,0,140,928,7,0,1983,7407,9,2170,95,5622,1059,7220,5671,481778
a,0,0,143,577,3,0,2086,7799,6,2366,73,5482,714,7519,5622,489616
a,0,0,134,520,0,0,1363,4388,63,1693,178,3338,555,4094,3633,167097
a,0,15,141,954,7,0,1929,8428,3,2130,74,6075,1163,8156,6075,574811
a,4,4,145,1156,0,0,1854,7747,1,2004,78,5817,1387,7510,5740,495082
a,13,8,138,1073,0,0,1782,6971,7,2006,72,5294,1154,6797,5445,416132
a,4,10,136,847,3,0,1962,7704,11,2189,134,5587,955,7494,5713,492151
a,2,22,145,842,0,0,1924,7955,18,2093,119,5754,1113,7642,5674,509866
a,0,0,136,809,10,0,1701,7820,5,1970,88,5448,972,7519,5544,479203
a,7,0,146,705,5,0,2213,7081,18,2487,165,5629,790,6850,5813,446955
a,17,22,150,726,0,0,2560,6327,29,2784,204,5556,786,6164,5742,397303
a,4,2,132,427,11,0,1515,5245,14,1777,54,3490,518,5010,3652,215805
a,0,0,124,520,4,0,1163,4881,34,1402,94,3113,572,4680,3296,184873
a,12,15,138,331,6,0,1724,4108,54,1845,46,3235,363,4039,3333,149672
a,0,0,125,580,1,0,1008,5959,32,1267,119,3643,615,5758,3866,246907
a,0,11,126,591,4,0,1016,5350,30,1254,85,3280,704,5095,3412,212331
a,0,0,110,377,0,0,749,4546,16,1019,6,2612,525,4222,2734,135965
a,0,15,129,652,0,0,1085,5960,23,1283,82,3739,857,5663,3747,262455
a,0,0,113,347,0,0,967,5867,27,1205,39,3388,473,5589,3500,225494
a,0,21,130,546,0,0,1133,5163,39,1316,149,3428,642,4975,3536,206451
a,0,2,128,659,24,0,828,5041,49,1168,35,3113,680,4759,3410,183505
a,0,9,109,511,6,0,1018,4889,37,1184,21,2983,592,4714,3071,175778
a,0,0,118,679,3,0,483,5391,47,757,15,2955,745,5122,3160,190289
a,0,17,126,686,0,0,1243,6016,58,1372,36,3853,880,5761,3805,280299
a,0,10,92,283,8,88,930,4939,21,1234,5,2953,371,4618,3171,162327
a,52,21,75,125,37,0,2640,5138,61,2706,42,3678,150,5061,3703,180815
a,48,37,57,170,51,0,2736,6552,56,2699,21,4151,143,6617,4127,290631
a,45,47,46,124,61,3,3273,7254,60,3199,11,4788,130,7308,4694,372182
a,46,34,73,204,14,0,3199,6127,62,3121,49,4375,178,6242,4343,287777
a,31,25,65,170,37,0,3039,6655,59,3013,65,4699,161,6696,4670,324045
a,40,15,54,196,26,0,3157,6516,73,3136,14,4821,216,6498,4769,318569
a,105,77,50,116,67,15,2912,4702,94,2960,29,3379,165,4561,3388,172302
a,32,28,55,116,64,10,2719,6671,65,2910,45,4032,146,6440,4157,278319
a,35,37,51,154,24,0,2703,5910,63,2719,27,4042,186,5850,4039,237329
a,41,35,27,152,50,0,2510,5446,73,2498,44,3828,149,5415,3804,215538
a,0,0,125,321,5,0,1057,4463,12,1337,6,2833,441,4176,2988,143840
a,74,79,41,109,53,22,3349,6785,92,3362,32,4417,164,6666,4401,311410
a,45,74,61,211,41,30,3181,6307,88,3169,36,4935,241,6262,4926,330393
a,6,0,128,526,2,0,1712,6125,23,1997,93,4261,602,5869,4468,301372
a,0,0,123,625,4,0,1765,8225,22,2047,140,5136,725,7944,5314,504486
a,0,0,135,497,4,0,1381,6243,11,1669,49,3919,606,5970,4094,282338
a,0,0,129,546,21,0,1503,5773,34,1686,100,3674,665,5566,3717,250115
a,0,0,132,620,18,0,1479,6129,1,1793,73,3893,726,5840,4083,288813
a,6,0,128,376,33,0,1455,6447,18,1755,26,3860,448,6185,4055,289929
a,4,0,134,372,11,0,1896,6413,15,2139,57,4271,485,6176,4390,308299
a,0,7,133,593,6,0,1315,6093,23,1550,142,4231,742,5819,4318,279732
a,0,6,124,486,5,0,1339,4577,27,1598,54,3444,502,4399,3688,172033
a,0,0,133,595,8,0,1548,5522,11,1845,86,3720,680,5262,3924,253342
a,0,0,133,611,5,0,1373,5704,3,1666,62,3779,762,5390,3916,260685
a,0,0,124,608,16,0,1371,6336,4,1657,32,3895,714,6064,4059,294345
a,0,0,130,632,9,0,1549,5975,12,1884,23,3806,731,5659,4033,284693
a,0,18,134,665,7,0,1715,6146,50,1860,229,4650,774,5976,4697,318235
a,0,13,143,516,4,0,2032,5500,54,2191,173,4385,588,5358,4481,274318
a,0,0,134,516,9,0,1902,5793,59,2087,133,4352,608,5591,4436,281296
a,0,15,133,982,2,0,1619,6163,8,1811,131,4834,1193,5885,4828,346940
a,0,21,136,924,8,0,1921,7036,21,2118,153,5335,1069,6809,5400,441705
a,5,0,149,458,2,0,1891,5211,70,2082,131,4193,553,5004,4287,233013
a,0,5,134,478,0,0,1542,4496,51,1654,114,3709,627,4318,3677,184404
a,0,12,139,1104,1,0,1603,5771,6,1802,627,5306,1263,5546,5357,311935
a,0,4,134,543,3,0,1734,6224,35,1874,48,4254,708,6018,4230,322291
a,0,0,144,605,10,0,2124,6573,62,2334,94,4873,691,6359,4987,387814
a,0,0,147,611,5,0,2095,6025,57,2319,107,4448,721,5781,4557,321817
a,0,5,142,555,8,0,2078,6782,49,2288,66,4975,630,6590,5107,395829
a,10,1,135,420,10,0,2288,6452,52,2503,79,4790,525,6215,4891,362879
a,0,0,136,643,0,0,1356,4277,10,1541,106,3347,858,4003,3317,165736
a,0,0,133,748,0,0,1353,4794,52,1440,113,3603,940,4596,3498,198222
a,0,23,138,726,4,0,1298,4771,56,1350,116,3534,902,4625,3429,196650
a,0,0,138,776,5,0,1245,4672,31,1395,126,3635,934,4471,3622,195175
ba,0,8,54,216,8,0,1220,3863,61,1161,19,3135,218,3913,3074,122926
ba,15,8,55,372,6,0,1084,3805,57,1043,54,2983,300,3916,3016,112167
ba,13,6,62,347,5,0,1107,3952,55,989,127,3279,338,4086,3171,121592
ba,0,9,19,263,1,0,1517,5959,59,1349,217,3742,147,6203,3698,199601
ba,0,26,10,321,0,0,1377,5857,79,1169,67,4099,289,6028,3949,207129
ba,1,46,18,498,0,0,1388,5110,65,1263,58,3562,491,5195,3490,174179
ba,0,29,28,235,0,0,1549,6126,63,1378,35,3929,209,6288,3813,220848
ba,6,20,10,300,40,1,1602,6593,57,1480,21,4231,206,6762,4183,254329
ba,1,11,28,303,3,0,1644,6571,37,1523,1,4105,168,6818,4127,242466
ba,5,7,16,276,16,0,1678,6276,36,1605,0,4081,143,6462,4132,236899
ba,0,14,20,283,3,0,1623,6388,49,1511,0,4233,216,6538,4199,251073
ba,8,3,61,465,15,0,1936,5279,59,1896,97,5124,455,5331,5082,246151
ba,1,27,50,279,56,2,2939,6960,75,2945,73,5576,265,6943,5567,450572
ba,0,11,63,318,24,0,1032,3485,11,1018,3,2725,295,3574,2721,88082
ba,2,0,40,267,7,0,2671,7086,10,2759,5,6684,263,7032,6769,535675
ba,0,7,26,312,17,0,2915,10185,51,2839,33,8133,310,10238,8049,794110
ba,0,55,15,849,48,209,2009,5750,3,1955,0,5913,818,5847,5897,335448
ba,0,4,72,484,20,0,1892,5481,56,1965,55,4755,414,5494,4882,268732
ba,0,5,18,349,48,0,2656,6547,59,2666,26,5295,153,6692,5458,395132
ba,0,3,31,354,3,0,3210,7479,64,3200,51,5891,312,7498,5923,588502
ba,0,0,66,484,16,0,2726,6940,54,2800,58,6350,391,6971,6501,482885
ba,0,8,63,832,45,0,2245,6442,64,2329,40,6123,588,6601,6414,369528
ba,0,4,76,574,34,0,2769,7256,25,2896,12,6067,448,7306,6290,491868
ba,0,5,81,645,26,0,2619,6093,61,2727,80,5818,528,6122,6022,360423
ba,0,1,64,490,0,0,1141,5353,60,1033,9,3516,628,5327,3271,231111
ba,0,43,53,370,0,22,801,4103,46,726,29,2357,408,4147,2287,106409
ba,0,22,62,437,0,0,1046,4070,63,938,27,2430,489,4125,2292,123128
ba,0,36,60,363,0,2,772,4102,58,679,11,2233,466,4094,2073,102700
ba,0,21,48,426,4,0,1180,4266,66,1058,8,2587,355,4441,2553,132756
ba,0,29,45,679,0,1,924,4658,65,846,44,2723,727,4668,2626,151709
ba,0,21,31,460,0,0,685,4451,55,660,0,2662,514,4398,2604,130148
ba,0,23,61,765,1,0,722,4376,49,721,4,2527,882,4272,2431,131391
ba,4,4,50,330,5,0,1208,3980,51,1154,38,3103,257,4106,3121,128131
ba,0,24,31,548,6,0,807,4589,69,713,7,2626,599,4594,2499,134988
ba,0,9,94,852,2,0,645,4215,54,670,2,2635,998,4084,2521,126481
ba,0,19,68,677,0,0,1008,5674,62,946,17,3409,770,5649,3273,222958
ba,0,16,59,737,0,0,1063,4725,56,1051,21,2961,823,4654,2879,169745
ba,0,16,23,526,0,0,1272,5273,61,1119,53,3361,441,5473,3309,178882
ba,0,15,35,351,0,0,1382,5703,63,1232,11,3777,331,5845,3662,187815
ba,0,22,54,173,0,0,1473,5903,59,1382,52,4083,168,5994,4019,211843
ba,0,22,23,322,0,0,1122,5345,58,954,57,3734,252,5548,3658,162089
ba,1,11,32,313,0,0,1350,5570,61,1192,0,3687,284,5728,3569,191184
ba,0,20,21,354,11,0,1352,5818,62,1191,76,3937,304,5988,3835,203131
ba,9,0,66,407,8,0,1337,4511,58,1253,5,3662,377,4633,3600,161124
ba,0,22,16,279,12,0,1145,5393,60,956,75,3760,160,5657,3700,153907
ba,0,23,22,425,0,0,1535,5062,57,1407,3,3387,389,5191,3318,191702
ba,0,36,27,227,0,0,1503,5790,55,1290,30,3913,203,5999,3760,210939
ba,0,25,36,124,0,0,1811,5468,54,1607,8,3826,69,5709,3702,196117
ba,0,26,47,249,0,0,1589,5627,46,1449,0,3877,224,5793,3788,200541
ba,0,12,24,176,8,0,1748,5328,50,1576,58,3328,66,5584,3270,186252
ba,0,0,28,707,0,135,2296,7159,59,2209,1,4885,710,7212,4795,379404
ba,2,21,18,299,0,0,2341,7543,39,2188,0,4957,235,7739,4889,430770
ba,0,18,54,441,0,0,2282,7223,61,2238,6,4690,501,7200,4604,365694
