class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,29,18,9,6,12,35,3,12,14,7,28,17,5,18,12,31,28,16,9,6,16,30,6,10,13,9,30,17,9,13,17,27,28,16,9,6,16,30,6,10,13,9,30,17,9,13,17,27,29,12,9,3,18,35,6,12,14,5,28,12,7,18,17,31,19,14,11,4,8,19,29,6,13,18,11,9,5,14,4,72,19,12,14,14,13,15,12,13,7,15,13,6,14,5,7,77,19,16,9,13,12,15,21,5,13,10,12,9,7,11,7,77,19,9,11,20,15,21,3,10,12,4,11,5,17,14,8,77,25,13,15,9,9,29,6,18,15,16,23,11,6,13,7,41,25,15,15,9,15,24,9,15,15,10,25,14,15,13,14,23,19,14,13,8,14,18,16,10,13,17,14,10,15,7,11,57,21,11,14,14,12,25,7,15,12,13,16,10,11,13,9,53,29,18,13,8,11,35,5,23,9,5,29,17,4,7,12,31,27,17,13,9,17,30,9,16,10,5,30,17,5,7,17,27,27,17,13,9,17,30,9,16,10,5,30,17,5,7,17,27,29,11,13,5,18,35,8,23,9,4,29,12,5,7,17,31
a,26,5,25,4,21,32,16,25,6,1,23,6,5,8,22,31,16,16,12,11,26,25,20,24,3,4,17,17,7,5,27,26,16,26,12,20,16,25,11,24,3,7,17,27,4,5,17,26,26,21,25,16,5,32,4,25,6,5,23,22,1,8,6,31,16,4,23,4,9,18,35,26,13,3,19,3,12,17,14,40,7,7,11,10,12,14,25,13,16,21,6,6,22,21,10,55,7,10,12,21,7,10,23,13,14,20,6,10,12,15,6,70,12,5,21,19,2,13,13,17,14,21,10,7,11,16,2,73,14,3,17,3,11,13,18,14,19,30,12,3,15,17,14,53,11,10,8,8,18,23,13,15,15,15,14,15,24,17,25,25,9,14,9,13,11,14,11,15,14,32,10,19,18,17,14,36,17,14,13,15,2,16,4,13,18,24,18,17,11,19,2,53,26,5,7,1,20,30,4,6,20,4,27,6,17,28,23,32,15,15,3,3,26,25,5,5,12,13,18,17,20,24,29,26,15,26,3,5,15,25,3,5,12,20,18,29,13,24,17,26,26,20,7,4,5,30,1,6,20,17,27,23,4,28,6,32
a,36,19,0,0,0,42,0,0,19,9,41,20,0,26,0,44,36,0,0,0,19,42,0,0,19,0,41,0,9,26,20,44,36,19,0,0,0,42,0,0,19,9,41,20,0,26,0,44,36,0,0,0,19,42,0,0,19,0,41,0,9,26,20,44,31,18,17,9,1,34,21,14,2,4,28,15,0,5,0,57,25,1,24,0,11,27,26,21,4,21,13,0,2,3,8,70,21,14,14,26,5,20,15,9,5,1,16,7,12,3,2,86,20,6,20,13,11,20,14,13,6,16,9,1,12,1,8,86,28,14,2,0,3,26,11,0,16,30,27,10,0,17,1,71,36,0,0,0,19,42,0,0,19,0,41,0,9,26,20,44,22,16,2,0,6,20,15,0,12,31,19,13,8,12,5,75,26,4,5,7,16,30,2,1,20,8,27,3,9,22,15,61,36,18,25,11,0,42,0,23,0,1,35,18,0,5,0,42,36,0,25,0,18,42,11,23,0,0,35,0,1,5,18,42,36,18,25,11,0,42,0,23,0,1,35,18,0,5,0,42,36,0,25,0,18,42,11,23,0,0,35,0,1,5,18,42
a,0,15,0,12,2,23,2,24,0,32,0,21,7,66,5,47,0,2,0,2,15,23,12,24,0,7,0,5,32,66,21,47,0,15,0,12,2,23,2,24,0,32,0,21,7,66,5,47,0,2,0,2,15,23,12,24,0,7,0,5,32,66,21,47,0,14,1,27,4,16,22,53,2,26,0,17,3,37,1,33,2,2,6,17,10,22,28,49,1,11,0,1,26,33,7,41,3,12,0,29,5,15,28,48,1,32,0,16,1,29,3,34,3,3,6,19,10,21,31,52,1,10,0,2,22,15,7,54,0,14,7,5,6,18,14,34,1,50,0,5,5,49,3,45,0,3,0,5,11,24,20,49,0,5,0,3,34,53,15,34,2,13,5,11,4,20,9,32,4,37,0,7,13,50,3,46,1,6,5,3,15,17,17,28,1,10,3,3,32,54,13,48,0,12,0,32,2,17,6,67,0,14,0,22,3,32,5,44,0,2,0,6,12,17,32,67,0,3,0,5,14,32,22,44,0,12,0,32,2,17,6,67,0,14,0,22,3,32,5,44,0,2,0,6,12,17,32,67,0,3,0,5,14,32,22,44
a,22,29,14,13,0,23,0,13,6,10,38,44,0,9,0,35,22,0,14,0,29,23,13,13,6,0,38,0,10,9,44,35,22,29,14,13,0,23,0,13,6,10,38,44,0,9,0,35,22,0,14,0,29,23,13,13,6,0,38,0,10,9,44,35,15,15,18,16,2,13,24,18,16,27,16,17,0,14,0,45,17,0,13,15,16,13,17,9,16,9,11,0,37,12,9,62,10,16,19,25,2,8,28,12,17,32,12,8,0,14,0,53,15,1,13,20,13,12,20,9,16,5,11,0,33,9,8,71,17,17,18,14,3,11,9,11,8,42,15,30,0,6,1,54,19,0,15,0,20,17,16,15,15,0,31,0,26,17,35,30,15,11,16,16,3,7,0,15,18,35,18,21,11,13,1,56,14,2,14,0,13,9,21,15,18,11,17,1,20,15,23,63,26,27,8,9,0,23,0,8,5,10,41,50,0,10,0,39,26,0,8,0,27,23,9,8,5,0,41,0,10,10,50,39,26,27,8,9,0,23,0,8,5,10,41,50,0,10,0,39,26,0,8,0,27,23,9,8,5,0,41,0,10,10,50,39
a,24,5,8,0,5,66,0,0,12,2,20,9,2,20,9,74,24,5,8,0,5,66,0,0,12,2,20,9,2,20,9,74,24,5,8,0,5,66,0,0,12,2,20,9,2,20,9,74,24,5,8,0,5,66,0,0,12,2,20,9,2,20,9,74,15,9,6,2,7,29,32,10,10,20,12,10,5,13,5,71,15,7,8,28,9,30,0,8,11,3,10,3,26,14,5,79,15,8,6,4,8,33,32,5,11,23,12,7,2,13,6,71,13,6,9,10,10,28,0,7,11,12,12,4,22,19,3,90,15,10,15,2,5,38,6,16,7,17,18,6,2,3,8,88,19,3,12,3,4,59,2,22,7,2,22,8,9,4,7,73,18,10,10,5,4,35,3,14,12,10,18,8,2,3,8,96,16,3,8,10,9,32,17,7,13,8,14,9,8,9,9,84,20,5,12,2,5,58,2,28,4,1,28,8,1,2,8,72,20,5,12,2,5,58,2,28,4,1,28,8,1,2,8,72,20,5,12,2,5,58,2,28,4,1,28,8,1,2,8,72,20,5,12,2,5,58,2,28,4,1,28,8,1,2,8,72
a,22,7,30,11,7,22,11,34,18,6,26,8,6,16,8,24,22,7,30,11,7,22,11,34,18,6,26,8,6,16,8,24,22,7,30,11,7,22,11,34,18,6,26,8,6,16,8,24,22,7,30,11,7,22,11,34,18,6,26,8,6,16,8,24,30,13,10,2,10,23,32,7,14,20,22,8,3,9,8,45,26,8,14,17,10,24,4,12,18,11,17,5,21,16,7,46,26,11,12,15,10,19,22,8,15,19,17,4,6,7,7,58,25,8,16,16,7,21,9,13,14,11,15,5,19,13,4,60,29,10,14,7,11,27,9,12,12,23,25,7,3,10,6,51,36,12,12,5,12,36,5,16,12,4,36,11,4,12,11,32,30,13,9,11,12,25,8,9,12,10,28,12,18,9,9,41,30,12,9,4,9,28,12,12,14,13,27,9,4,11,7,55,26,8,18,6,8,20,6,18,28,10,24,8,10,34,8,24,26,8,18,6,8,20,6,18,28,10,24,8,10,34,8,24,26,8,18,6,8,20,6,18,28,10,24,8,10,34,8,24,26,8,18,6,8,20,6,18,28,10,24,8,10,34,8,24
a,12,14,13,15,9,16,11,15,10,14,29,21,11,12,17,37,12,9,13,11,14,16,15,15,10,11,29,17,14,12,21,37,12,14,13,15,9,16,11,15,10,14,29,21,11,12,17,37,12,9,13,11,14,16,15,15,10,11,29,17,14,12,21,37,5,13,13,14,8,11,39,7,12,28,16,19,6,10,10,45,11,14,18,14,13,17,17,16,12,15,12,9,22,8,9,49,9,6,17,21,11,9,26,6,13,25,14,9,11,6,8,65,14,8,21,27,8,16,9,14,12,8,10,5,27,5,7,65,12,5,21,13,7,6,10,14,19,25,23,7,9,18,13,54,11,7,14,11,11,7,15,14,16,12,23,18,16,23,22,36,12,7,16,11,6,5,12,12,16,25,24,18,14,18,17,43,13,4,14,9,7,6,17,13,17,18,22,11,17,22,15,51,13,16,8,12,12,15,5,11,13,14,30,22,12,16,19,38,13,12,8,5,16,15,12,11,13,12,30,19,14,16,22,38,13,16,8,12,12,15,5,11,13,14,30,22,12,16,19,38,13,12,8,5,16,15,12,11,13,12,30,19,14,16,22,38
a,0,25,0,27,25,30,27,26,0,8,0,20,8,12,20,28,0,25,0,27,25,30,27,26,0,8,0,20,8,12,20,28,0,25,0,27,25,30,27,26,0,8,0,20,8,12,20,28,0,25,0,27,25,30,27,26,0,8,0,20,8,12,20,28,2,25,2,12,24,22,37,14,2,23,0,18,9,11,17,38,1,22,4,30,23,27,18,22,1,9,0,14,22,7,13,43,4,22,4,18,24,20,29,12,5,20,0,17,7,11,16,47,2,21,3,22,22,24,24,24,1,15,0,13,16,9,12,48,2,23,4,13,22,26,15,18,3,26,0,17,14,18,16,39,0,25,0,17,25,30,17,22,0,18,0,20,18,20,20,24,2,24,2,16,24,25,14,15,0,21,1,19,27,14,19,33,5,21,2,13,23,25,22,15,6,21,2,16,14,17,16,38,0,20,0,12,20,24,12,12,0,28,0,20,28,32,20,28,0,20,0,12,20,24,12,12,0,28,0,20,28,32,20,28,0,20,0,12,20,24,12,12,0,28,0,20,28,32,20,28,0,20,0,12,20,24,12,12,0,28,0,20,28,32,20,28
a,10,3,14,6,19,26,28,38,3,3,21,4,9,15,24,33,3,18,6,26,20,15,33,21,1,7,6,29,11,8,32,20,3,20,6,33,18,15,26,21,1,11,6,32,7,8,29,20,10,19,14,28,3,26,6,38,3,9,21,24,3,15,4,33,3,6,15,2,10,10,50,22,17,17,8,2,22,28,11,33,2,10,6,21,12,6,19,9,7,29,4,16,47,19,16,33,4,11,11,37,6,4,34,13,10,33,1,9,23,17,9,34,4,7,12,23,4,13,6,16,19,28,7,10,19,35,4,49,5,6,17,5,9,14,24,34,16,20,8,6,13,27,12,40,1,10,5,23,11,8,30,20,6,28,4,19,32,20,23,16,3,9,5,28,13,6,24,17,9,28,4,13,40,15,14,28,8,9,15,22,2,12,12,32,18,27,8,10,6,36,3,36,9,4,3,0,18,25,4,5,15,7,21,5,31,45,27,37,3,17,1,4,23,14,3,3,5,28,7,31,34,25,36,22,3,23,1,3,17,14,4,3,5,34,7,36,28,25,31,22,9,18,3,4,4,25,0,5,15,31,21,27,7,45,5,37
