datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius9resize64zona8.csv,87,0.87,0.87,12.26,85.64,0.86,0.86,13.32,83.71,0.84,0.84,13.65,82.61,0.83,0.83,13.84,81.62,0.82,0.82,13.98
ekstraksi_ciri/radius8resize64zona8.csv,85.98,0.86,0.86,12.03,85.79,0.86,0.86,12.51,84.54,0.85,0.85,13.17,83.55,0.84,0.84,13.78,81.77,0.82,0.82,13.4
ekstraksi_ciri/radius9resize128zona16.csv,83.29,0.83,0.83,46.67,81.66,0.82,0.82,49.06,80.49,0.8,0.8,49.87,79.08,0.79,0.79,50.27,78.14,0.78,0.78,50.74
ekstraksi_ciri/radius8resize128zona16.csv,82.95,0.83,0.83,49.83,81.55,0.82,0.82,52.54,79.96,0.8,0.8,57.23,78.74,0.79,0.79,55.7,77,0.77,0.77,56.44
ekstraksi_ciri/radius7resize64zona16.csv,80.83,0.81,0.81,54.06,77.95,0.78,0.78,56.13,77.64,0.78,0.78,57.43,75.33,0.75,0.75,57.49,74.5,0.74,0.74,57.82
ekstraksi_ciri/radius8resize64zona16.csv,80.79,0.81,0.81,49.84,78.44,0.78,0.78,53.64,77.91,0.78,0.78,53.67,75.83,0.76,0.76,53.82,73.93,0.74,0.74,55.9
ekstraksi_ciri/radius9resize64zona16.csv,80.56,0.81,0.81,53.31,78.21,0.78,0.78,57.42,77.61,0.78,0.78,57.44,75.9,0.76,0.76,56.79,73.1,0.73,0.73,59.03
ekstraksi_ciri/radius5resize64zona16.csv,80.37,0.8,0.8,52.78,78.63,0.79,0.79,53.96,77.61,0.78,0.78,58.72,75.18,0.75,0.75,57.98,74.23,0.74,0.74,58.6
ekstraksi_ciri/radius4resize64zona16.csv,80.22,0.8,0.8,51.93,78.4,0.78,0.78,51.66,77.11,0.77,0.77,54.86,75.18,0.75,0.75,50.14,74.95,0.75,0.75,49.66
ekstraksi_ciri/radius6resize64zona16.csv,79.84,0.8,0.8,55,77.79,0.78,0.78,57.38,77.15,0.77,0.77,58.36,75.82,0.76,0.76,58.98,73.82,0.74,0.74,59.03
ekstraksi_ciri/radius9resize256zona16.csv,75.71,0.76,0.76,49.63,75.41,0.75,0.75,50.8,74.76,0.75,0.75,50.83,74.69,0.75,0.75,51.09,73.66,0.74,0.74,50.89
ekstraksi_ciri/radius7resize128zona16.csv,73.97,0.74,0.74,59.44,72.91,0.73,0.73,60.49,73.32,0.73,0.73,60.89,72.91,0.73,0.73,61.21,71.54,0.72,0.72,61.04
