datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius1.csv,12.8,0.13,0.13,0.1,8.6,0.09,0.09,0.12,10,0.1,0.1,0.11,9.4,0.09,0.09,0.11,9.4,0.09,0.09,0.11
ekstraksi_ciri/radius1resize128.csv,12.4,0.12,0.12,0.11,9.4,0.09,0.09,0.15,10.4,0.1,0.1,0.15,10.8,0.11,0.11,0.15,10.8,0.11,0.11,0.16
ekstraksi_ciri/radius1resize256.csv,13,0.13,0.13,0.1,9,0.09,0.09,0.13,9.4,0.1,0.1,0.13,10.2,0.1,0.1,0.14,10.6,0.11,0.11,0.14
ekstraksi_ciri/radius2resize128.csv,13,0.13,0.13,0.11,10.6,0.1,0.1,0.13,11.6,0.11,0.11,0.14,11.2,0.11,0.11,0.15,10.8,0.11,0.11,0.16
ekstraksi_ciri/radius2resize256.csv,13,0.13,0.13,0.11,10,0.1,0.1,0.13,10,0.1,0.1,0.14,10.8,0.11,0.11,0.14,10.4,0.1,0.1,0.14
ekstraksi_ciri/radius3resize128.csv,14.4,0.14,0.14,0.11,10.6,0.11,0.11,0.13,12.2,0.12,0.12,0.14,11.8,0.12,0.12,0.15,12.2,0.12,0.12,0.15
ekstraksi_ciri/radius3resize256.csv,12.8,0.13,0.13,0.1,10.2,0.1,0.1,0.13,10.6,0.11,0.11,0.13,11,0.11,0.11,0.14,10.4,0.11,0.11,0.15
ekstraksi_ciri/radius4resize256.csv,12.8,0.13,0.13,0.1,11.4,0.11,0.11,0.13,10.8,0.11,0.11,0.14,11,0.11,0.11,0.14,10.6,0.11,0.11,0.14
ekstraksi_ciri/radius4resize64zona16.csv,47.4,0.47,0.47,7.49,61.4,0.61,0.61,17.3,72,0.72,0.72,25.92,73.6,0.73,0.73,29.29,73.8,0.74,0.74,31.65
ekstraksi_ciri/radius5resize256.csv,12.6,0.13,0.13,0.11,10.4,0.1,0.1,0.13,11.2,0.11,0.11,0.14,11.6,0.12,0.12,0.14,9.8,0.1,0.1,0.15
ekstraksi_ciri/radius5resize64zona16.csv,47.4,0.47,0.47,7.48,61.8,0.62,0.62,17.54,70.8,0.71,0.71,25.69,73.2,0.73,0.73,29.5,74,0.74,0.74,31.71
ekstraksi_ciri/radius6resize256.csv,14,0.14,0.14,0.1,11.2,0.11,0.11,0.14,11.8,0.12,0.12,0.14,12,0.12,0.12,0.14,11.6,0.12,0.12,0.15
ekstraksi_ciri/radius6resize64zona16.csv,47,0.47,0.47,7.58,61,0.61,0.61,17.29,71.6,0.71,0.71,26.29,73.2,0.73,0.73,29.96,72.8,0.73,0.73,31.34
ekstraksi_ciri/radius7resize64zona16.csv,47,0.47,0.47,7.43,61.4,0.62,0.62,17.59,70,0.7,0.7,26.11,73.6,0.74,0.74,29.07,73.2,0.73,0.73,31.39
ekstraksi_ciri/radius8resize128zona16.csv,41,0.41,0.41,8.1,58.8,0.59,0.59,20.18,69.2,0.69,0.69,27.4,75.4,0.75,0.75,27.81,76,0.76,0.76,29.64
ekstraksi_ciri/radius8resize64zona16.csv,47.2,0.47,0.47,7.48,61.8,0.62,0.62,17.29,72.2,0.72,0.72,26.42,73.8,0.74,0.74,29.61,73.2,0.73,0.73,31.8
ekstraksi_ciri/radius8resize64zona8.csv,44,0.44,0.44,1.6,56.6,0.57,0.57,4.17,68.2,0.68,0.68,6.5,74.8,0.75,0.75,7.56,76.6,0.77,0.77,8.39
ekstraksi_ciri/radius9resize128zona16.csv,41,0.41,0.41,7.91,58.4,0.59,0.59,19.16,70.6,0.71,0.71,30.06,74.8,0.75,0.75,34.75,75.2,0.75,0.75,37.05
ekstraksi_ciri/radius9resize64zona16.csv,46.4,0.47,0.47,7.42,61,0.61,0.61,17.21,70.8,0.71,0.71,26.19,72.4,0.72,0.72,29.41,73.2,0.73,0.73,31.42
ekstraksi_ciri/radius9resize64zona8.csv,43.6,0.44,0.44,1.67,55.4,0.56,0.56,4.33,66.2,0.66,0.66,6.9,73.6,0.74,0.74,7.6,77,0.77,0.77,8.52
